w	SampleID	Label	Type	N_TADs
3	Benign-Prostate-1595983	BP1595983	Benign	6094
3	Benign-Prostate-1648133	BP1648133	Benign	6073
3	Benign-Prostate-1664855	BP1664855	Benign	6064
3	Benign-Prostate-3320942	BP3320942	Benign	6013
3	Benign-Prostate-3330581	BP3330581	Benign	6085
3	PCa13266	CPCG0268	Malignant	5327
3	PCa13848	CPCG0366	Malignant	6311
3	PCa14121	CPCG0255	Malignant	5225
3	PCa19121	CPCG0258	Malignant	5743
3	PCa3023	CPCG0324	Malignant	6006
3	PCa33173	CPCG0246	Malignant	5786
3	PCa40507	CPCG0342	Malignant	5352
3	PCa51852	CPCG0336	Malignant	5017
3	PCa53687	CPCG0339	Malignant	5545
3	PCa56413	CPCG0331	Malignant	5914
3	PCa57294	CPCG0365	Malignant	5376
3	PCa58215	CPCG0345	Malignant	6038
4	Benign-Prostate-1595983	BP1595983	Benign	5710
4	Benign-Prostate-1648133	BP1648133	Benign	5702
4	Benign-Prostate-1664855	BP1664855	Benign	5687
4	Benign-Prostate-3320942	BP3320942	Benign	5690
4	Benign-Prostate-3330581	BP3330581	Benign	5642
4	PCa13266	CPCG0268	Malignant	5094
4	PCa13848	CPCG0366	Malignant	5841
4	PCa14121	CPCG0255	Malignant	5205
4	PCa19121	CPCG0258	Malignant	5471
4	PCa3023	CPCG0324	Malignant	5647
4	PCa33173	CPCG0246	Malignant	5452
4	PCa40507	CPCG0342	Malignant	5227
4	PCa51852	CPCG0336	Malignant	4986
4	PCa53687	CPCG0339	Malignant	5337
4	PCa56413	CPCG0331	Malignant	5613
4	PCa57294	CPCG0365	Malignant	5257
4	PCa58215	CPCG0345	Malignant	5798
5	Benign-Prostate-1595983	BP1595983	Benign	5121
5	Benign-Prostate-1648133	BP1648133	Benign	5198
5	Benign-Prostate-1664855	BP1664855	Benign	5113
5	Benign-Prostate-3320942	BP3320942	Benign	5167
5	Benign-Prostate-3330581	BP3330581	Benign	5122
5	PCa13266	CPCG0268	Malignant	4678
5	PCa13848	CPCG0366	Malignant	5335
5	PCa14121	CPCG0255	Malignant	4809
5	PCa19121	CPCG0258	Malignant	5031
5	PCa3023	CPCG0324	Malignant	5164
5	PCa33173	CPCG0246	Malignant	4986
5	PCa40507	CPCG0342	Malignant	4861
5	PCa51852	CPCG0336	Malignant	4728
5	PCa53687	CPCG0339	Malignant	4899
5	PCa56413	CPCG0331	Malignant	5120
5	PCa57294	CPCG0365	Malignant	4811
5	PCa58215	CPCG0345	Malignant	5210
6	Benign-Prostate-1595983	BP1595983	Benign	4643
6	Benign-Prostate-1648133	BP1648133	Benign	4682
6	Benign-Prostate-1664855	BP1664855	Benign	4619
6	Benign-Prostate-3320942	BP3320942	Benign	4678
6	Benign-Prostate-3330581	BP3330581	Benign	4653
6	PCa13266	CPCG0268	Malignant	4264
6	PCa13848	CPCG0366	Malignant	4831
6	PCa14121	CPCG0255	Malignant	4414
6	PCa19121	CPCG0258	Malignant	4600
6	PCa3023	CPCG0324	Malignant	4718
6	PCa33173	CPCG0246	Malignant	4529
6	PCa40507	CPCG0342	Malignant	4446
6	PCa51852	CPCG0336	Malignant	4350
6	PCa53687	CPCG0339	Malignant	4468
6	PCa56413	CPCG0331	Malignant	4615
6	PCa57294	CPCG0365	Malignant	4431
6	PCa58215	CPCG0345	Malignant	4760
7	Benign-Prostate-1595983	BP1595983	Benign	4260
7	Benign-Prostate-1648133	BP1648133	Benign	4237
7	Benign-Prostate-1664855	BP1664855	Benign	4218
7	Benign-Prostate-3320942	BP3320942	Benign	4289
7	Benign-Prostate-3330581	BP3330581	Benign	4220
7	PCa13266	CPCG0268	Malignant	3859
7	PCa13848	CPCG0366	Malignant	4434
7	PCa14121	CPCG0255	Malignant	4096
7	PCa19121	CPCG0258	Malignant	4174
7	PCa3023	CPCG0324	Malignant	4337
7	PCa33173	CPCG0246	Malignant	4131
7	PCa40507	CPCG0342	Malignant	4048
7	PCa51852	CPCG0336	Malignant	4024
7	PCa53687	CPCG0339	Malignant	4053
7	PCa56413	CPCG0331	Malignant	4251
7	PCa57294	CPCG0365	Malignant	4058
7	PCa58215	CPCG0345	Malignant	4353
8	Benign-Prostate-1595983	BP1595983	Benign	3904
8	Benign-Prostate-1648133	BP1648133	Benign	3855
8	Benign-Prostate-1664855	BP1664855	Benign	3871
8	Benign-Prostate-3320942	BP3320942	Benign	3941
8	Benign-Prostate-3330581	BP3330581	Benign	3905
8	PCa13266	CPCG0268	Malignant	3605
8	PCa13848	CPCG0366	Malignant	4069
8	PCa14121	CPCG0255	Malignant	3794
8	PCa19121	CPCG0258	Malignant	3869
8	PCa3023	CPCG0324	Malignant	3937
8	PCa33173	CPCG0246	Malignant	3832
8	PCa40507	CPCG0342	Malignant	3716
8	PCa51852	CPCG0336	Malignant	3734
8	PCa53687	CPCG0339	Malignant	3774
8	PCa56413	CPCG0331	Malignant	3968
8	PCa57294	CPCG0365	Malignant	3711
8	PCa58215	CPCG0345	Malignant	4005
9	Benign-Prostate-1595983	BP1595983	Benign	3661
9	Benign-Prostate-1648133	BP1648133	Benign	3607
9	Benign-Prostate-1664855	BP1664855	Benign	3596
9	Benign-Prostate-3320942	BP3320942	Benign	3658
9	Benign-Prostate-3330581	BP3330581	Benign	3673
9	PCa13266	CPCG0268	Malignant	3389
9	PCa13848	CPCG0366	Malignant	3791
9	PCa14121	CPCG0255	Malignant	3531
9	PCa19121	CPCG0258	Malignant	3603
9	PCa3023	CPCG0324	Malignant	3681
9	PCa33173	CPCG0246	Malignant	3600
9	PCa40507	CPCG0342	Malignant	3425
9	PCa51852	CPCG0336	Malignant	3463
9	PCa53687	CPCG0339	Malignant	3452
9	PCa56413	CPCG0331	Malignant	3688
9	PCa57294	CPCG0365	Malignant	3459
9	PCa58215	CPCG0345	Malignant	3725
10	Benign-Prostate-1595983	BP1595983	Benign	3478
10	Benign-Prostate-1648133	BP1648133	Benign	3409
10	Benign-Prostate-1664855	BP1664855	Benign	3368
10	Benign-Prostate-3320942	BP3320942	Benign	3478
10	Benign-Prostate-3330581	BP3330581	Benign	3485
10	PCa13266	CPCG0268	Malignant	3212
10	PCa13848	CPCG0366	Malignant	3590
10	PCa14121	CPCG0255	Malignant	3322
10	PCa19121	CPCG0258	Malignant	3373
10	PCa3023	CPCG0324	Malignant	3466
10	PCa33173	CPCG0246	Malignant	3371
10	PCa40507	CPCG0342	Malignant	3264
10	PCa51852	CPCG0336	Malignant	3300
10	PCa53687	CPCG0339	Malignant	3215
10	PCa56413	CPCG0331	Malignant	3481
10	PCa57294	CPCG0365	Malignant	3287
10	PCa58215	CPCG0345	Malignant	3483
11	Benign-Prostate-1595983	BP1595983	Benign	3270
11	Benign-Prostate-1648133	BP1648133	Benign	3200
11	Benign-Prostate-1664855	BP1664855	Benign	3162
11	Benign-Prostate-3320942	BP3320942	Benign	3263
11	Benign-Prostate-3330581	BP3330581	Benign	3243
11	PCa13266	CPCG0268	Malignant	2993
11	PCa13848	CPCG0366	Malignant	3350
11	PCa14121	CPCG0255	Malignant	3115
11	PCa19121	CPCG0258	Malignant	3154
11	PCa3023	CPCG0324	Malignant	3234
11	PCa33173	CPCG0246	Malignant	3184
11	PCa40507	CPCG0342	Malignant	3099
11	PCa51852	CPCG0336	Malignant	3082
11	PCa53687	CPCG0339	Malignant	3055
11	PCa56413	CPCG0331	Malignant	3271
11	PCa57294	CPCG0365	Malignant	3091
11	PCa58215	CPCG0345	Malignant	3289
12	Benign-Prostate-1595983	BP1595983	Benign	3148
12	Benign-Prostate-1648133	BP1648133	Benign	3033
12	Benign-Prostate-1664855	BP1664855	Benign	2982
12	Benign-Prostate-3320942	BP3320942	Benign	3057
12	Benign-Prostate-3330581	BP3330581	Benign	3078
12	PCa13266	CPCG0268	Malignant	2848
12	PCa13848	CPCG0366	Malignant	3203
12	PCa14121	CPCG0255	Malignant	2955
12	PCa19121	CPCG0258	Malignant	3009
12	PCa3023	CPCG0324	Malignant	3123
12	PCa33173	CPCG0246	Malignant	3027
12	PCa40507	CPCG0342	Malignant	2934
12	PCa51852	CPCG0336	Malignant	2898
12	PCa53687	CPCG0339	Malignant	2889
12	PCa56413	CPCG0331	Malignant	3145
12	PCa57294	CPCG0365	Malignant	2889
12	PCa58215	CPCG0345	Malignant	3098
13	Benign-Prostate-1595983	BP1595983	Benign	3000
13	Benign-Prostate-1648133	BP1648133	Benign	2888
13	Benign-Prostate-1664855	BP1664855	Benign	2866
13	Benign-Prostate-3320942	BP3320942	Benign	2917
13	Benign-Prostate-3330581	BP3330581	Benign	2953
13	PCa13266	CPCG0268	Malignant	2723
13	PCa13848	CPCG0366	Malignant	3080
13	PCa14121	CPCG0255	Malignant	2820
13	PCa19121	CPCG0258	Malignant	2903
13	PCa3023	CPCG0324	Malignant	3011
13	PCa33173	CPCG0246	Malignant	2918
13	PCa40507	CPCG0342	Malignant	2793
13	PCa51852	CPCG0336	Malignant	2776
13	PCa53687	CPCG0339	Malignant	2719
13	PCa56413	CPCG0331	Malignant	2953
13	PCa57294	CPCG0365	Malignant	2725
13	PCa58215	CPCG0345	Malignant	2984
14	Benign-Prostate-1595983	BP1595983	Benign	2868
14	Benign-Prostate-1648133	BP1648133	Benign	2776
14	Benign-Prostate-1664855	BP1664855	Benign	2753
14	Benign-Prostate-3320942	BP3320942	Benign	2819
14	Benign-Prostate-3330581	BP3330581	Benign	2837
14	PCa13266	CPCG0268	Malignant	2634
14	PCa13848	CPCG0366	Malignant	2979
14	PCa14121	CPCG0255	Malignant	2678
14	PCa19121	CPCG0258	Malignant	2774
14	PCa3023	CPCG0324	Malignant	2855
14	PCa33173	CPCG0246	Malignant	2797
14	PCa40507	CPCG0342	Malignant	2657
14	PCa51852	CPCG0336	Malignant	2633
14	PCa53687	CPCG0339	Malignant	2622
